,failure
26570,0.8303337741603738
26571,0.816625294763581
26572,0.7706631527016132
26573,0.6760744486610408
26574,0.7291759712280776
26575,0.6982136935739854
26576,0.5341636459567494
26577,0.806787962301745
26578,0.7019379983931185
26579,0.6345232938651122
26580,0.5013433682405533
26581,0.7414072540571889
26582,0.5556488764017504
26583,0.6715843584807578
26584,0.8664492716737325
26585,0.4791729474576153
26586,0.5968087482256135
26587,0.6374949719400685
26588,0.827816121239871
26589,0.7061101834390953
26590,0.7142953344673051
26591,0.7004118016569517
26592,0.7669761125327862
26593,0.7814077082717612
26594,0.5411196493206435
26595,0.8940792995544283
26596,0.7620897833994681
26597,0.824357613566419
26598,0.8783571031530134
26599,0.863616692643051
26600,0.6907211456100727
26601,0.6723417841734769
26602,0.8562575407462145
26603,0.7642630061229444
26604,0.7315192407934444
26605,0.5978685864342549
26606,0.601858073785895
26607,0.5733339242477882
26608,0.6700280703163123
26609,0.8367422155146839
26610,0.5583978623407039
26611,0.5241057203677025
26612,0.5735164014008739
26613,0.7470805049111644
26614,0.600799925181135
26615,0.6735857165600281
26616,0.5994239868562815
26617,0.7253284081009391
26618,0.7325881605640652
26619,0.7530475469072454
26620,0.6796730795409001
26621,0.6436403624509079
26622,0.5515327543149923
26623,0.8003108498434197
26624,0.6151935260925028
26625,0.6925464060928647
26626,0.71467860228381
26627,0.8435806229659286
26628,0.6994706216890462
26629,0.75510499647155
26630,0.7982862069499739
26631,0.7529410731373
26632,0.8044066937181671
26633,0.428568119825379
26634,0.7224201108981275
26635,0.8318101428382793
26636,0.8708883908205844
26637,0.7899529505442248
26638,0.7162447120036485
26639,0.7951492403593888
26640,0.4872898261242798
26641,0.6013696449928635
26642,0.6399384283506948
26643,0.5752782889333943
26644,0.8283661352497951
26645,0.7791041129794328
26646,0.6036969664893925
26647,0.646239538172801
26648,0.7997711405458472
26649,0.6003433083221431
26650,0.6688764925469334
26651,0.809478053607831
26652,0.6672249969685472
26653,0.7275668523509161
26654,0.7376588253500849
26655,0.854859917284947
26656,0.78074935694367
26657,0.7597537466926458
26658,0.8193316391538422
26659,0.7275976814451155
26660,0.7042346038823695
26661,0.6786238994722469
26662,0.8421063334486136
26663,0.7254574415256633
26664,0.6223295118908754
26665,0.7696926679501473
26666,0.6780915360740889
26667,0.7454932492187935
26668,0.7590293407378063
26669,0.8180937349156744
26670,0.7683440471968501
26671,0.6503922907551313
26672,0.814352846355181
26673,0.7381752311973656
26674,0.7293510215209917
26675,0.6246354688291158
26676,0.551377608003875
26677,0.8147668090273157
26678,0.7818783278543439
26679,0.7425016300434538
26680,0.8423416584684207
26681,0.8113077811801496
26682,0.6125413416559086
26683,0.8346959631456368
26684,0.6330805966586603
26685,0.6667351960846593
26686,0.7068770536234362
26687,0.7736861289758444
26688,0.5565244141808859
26689,0.8695809944321594
26690,0.8295023741412683
26691,0.8304968950904189
26692,0.6689119812192896
26693,0.7393241122911839
26694,0.6056021928105703
26695,0.8916169325065385
26696,0.7266883407754756
26697,0.5972997164467937
26698,0.7915011723762229
26699,0.7080073858453478
26700,0.8620459614669698
26701,0.7502482866759422
26702,0.7088119811024701
26703,0.7211648359020577
26704,0.7361631878000642
26705,0.6652873747304601
26706,0.6766467989198262
26707,0.8744726080900189
26708,0.6297124698858875
26709,0.5104487621447144
26710,0.7539989458737298
26711,0.7292346156674566
26712,0.8081805389343831
26713,0.7764124258883077
26714,0.6734448593993427
26715,0.6401055623971269
26716,0.754303598471271
26717,0.7158975543318141
26718,0.6992639668676232
26719,0.7346518081718381
26720,0.686479162430908
26721,0.6831042093708338
26722,0.6592893672960892
26723,0.6909406603104657
26724,0.8743387741915858
26725,0.7141454515422678
26726,0.8454909985827834
26727,0.634876029021921
26728,0.8171214092548071
26729,0.6658802528032322
26730,0.7669706308317109
26731,0.7170569937243589
26732,0.7468412991298026
26733,0.7134384693435314
26734,0.5169719759213361
26735,0.8110945074672001
26736,0.7930861065911453
26737,0.7428939967159944
26738,0.8463589621316172
26739,0.9042510609598182
26740,0.4928150890983759
26741,0.8753647605914722
26742,0.6787469388886832
26743,0.6577314283134604
26744,0.5906647557967084
26745,0.7380800210346244
26746,0.4641437729582022
26747,0.8705547737030682
26748,0.8102456470744682
26749,0.8150723232662093
26750,0.6082849726723963
26751,0.5947777182998397
26752,0.889631308951111
26753,0.8719382454062592
26754,0.7781016231603644
26755,0.6537188334308435
26756,0.77068944921006
26757,0.691334088372066
26758,0.8231814256925669
26759,0.8005725863141562
26760,0.8715305005138642
26761,0.6436586223706384
26762,0.6611816166579978
26763,0.5941827163211002
26764,0.47926624165862936
26765,0.5678965925682871
26766,0.6532085334435823
26767,0.5897699002689696
26768,0.638139440830855
26769,0.7512758527444742
26770,0.8204527681805721
26771,0.6864616770836123
26772,0.631145349645668
26773,0.7521644760654785
26774,0.8500707276994263
26775,0.7015666620125879
26776,0.5231729405713822
26777,0.6524808407697407
26778,0.7774305763839149
26779,0.8116927143323064
26780,0.5264942031633363
26781,0.6813974997323707
26782,0.572235650563162
26783,0.7943734655492571
26784,0.7456680049584313
26785,0.7209943996069081
26786,0.5092240566809092
26787,0.6742536201304835
26788,0.8438335453020184
26789,0.8371620686017286
26790,0.805976937857807
26791,0.7540158395189352
26792,0.6671750180004953
26793,0.8356710306356504
26794,0.82069655541703
26795,0.8680705207013255
26796,0.8954734058952983
26797,0.7997078530317091
26798,0.6763325870038771
26799,0.7063470535968736
26800,0.7731643036938405
26801,0.7903445316915553
26802,0.7862133494607566
26803,0.6186155580861462
26804,0.7406416754646327
26805,0.6444493335878306
26806,0.607673143624604
26807,0.6698249033954642
26808,0.691166325577601
26809,0.5936460048190174
26810,0.7220356428349591
26811,0.7970552764492902
26812,0.7592745914294387
26813,0.6002500069285149
26814,0.919933128547303
26815,0.7831395189889482
26816,0.8487920550207451
26817,0.7654308978327093
26818,0.5155556250058712
26819,0.7592443829852668
26820,0.7046525980324788
26821,0.7318646848437894
26822,0.8805787987278783
26823,0.6892017645924714
26824,0.8431127194848996
26825,0.8369729039310149
26826,0.6573047223905125
26827,0.6815962752317668
26828,0.8939261469196083
26829,0.6230859126698974
26830,0.8294485067463495
26831,0.5616380968067455
26832,0.6488764242657967
26833,0.8662523779309464
26834,0.6976428954509829
26835,0.5507428596540436
26836,0.7668665099394926
26837,0.5434536282343219
26838,0.6413931522293794
26839,0.8339673469270469
26840,0.5839565350881033
26841,0.6186740004759568
26842,0.6913370864955757
26843,0.8413737609703799
26844,0.8051513897031333
26845,0.5332644799032134
26846,0.9251458884786624
26847,0.8297025566804218
26848,0.7628573859221974
26849,0.86224894005658
26850,0.7243229392115935
26851,0.7216216804080201
26852,0.6982952079211173
26853,0.5469868600080133
26854,0.9023628286483159
26855,0.5566179828255848
26856,0.843567653229329
