id,failure
26570,0.625287392
26571,0.610624127
26572,0.594921097
26573,0.587536711
26574,0.587306724
26575,0.616514592
26576,0.533499328
26577,0.640530553
26578,0.594081538
26579,0.586086674
26580,0.5594194
26581,0.645013799
26582,0.606358638
26583,0.588529551
26584,0.662724964
26585,0.554622215
26586,0.581131336
26587,0.635090288
26588,0.62346229
26589,0.589388033
26590,0.578134618
26591,0.58873045
26592,0.646729271
26593,0.626763868
26594,0.580325909
26595,0.620525452
26596,0.60730122
26597,0.62999406
26598,0.66954025
26599,0.657174532
26600,0.581737404
26601,0.559245447
26602,0.591442087
26603,0.598014793
26604,0.597991538
26605,0.59194367
26606,0.541017551
26607,0.565817233
26608,0.550398305
26609,0.654449462
26610,0.572451715
26611,0.604519183
26612,0.540988928
26613,0.602862873
26614,0.596957816
26615,0.633230288
26616,0.597325781
26617,0.615683653
26618,0.517333604
26619,0.574089302
26620,0.555226193
26621,0.615241874
26622,0.552683938
26623,0.658571216
26624,0.566331075
26625,0.636734057
26626,0.607920391
26627,0.646940994
26628,0.557451431
26629,0.595615404
26630,0.633157956
26631,0.612647514
26632,0.588854307
26633,0.562646743
26634,0.6423869
26635,0.615251543
26636,0.606298249
26637,0.637049437
26638,0.51574196
26639,0.59560055
26640,0.515708303
26641,0.556295946
26642,0.562417767
26643,0.57747212
26644,0.624771191
26645,0.630012523
26646,0.559203397
26647,0.571306298
26648,0.639928993
26649,0.57477931
26650,0.658638651
26651,0.673666922
26652,0.594712906
26653,0.637507753
26654,0.622862631
26655,0.610690258
26656,0.633914035
26657,0.62223996
26658,0.62049838
26659,0.627589096
26660,0.579388403
26661,0.630391287
26662,0.653310134
26663,0.63412585
26664,0.581270357
26665,0.644874557
26666,0.636195451
26667,0.606178216
26668,0.619907706
26669,0.62995696
26670,0.683772288
26671,0.587682989
26672,0.625583688
26673,0.587605473
26674,0.655967526
26675,0.553758872
26676,0.53518759
26677,0.638665658
26678,0.641115064
26679,0.597828604
26680,0.608963097
26681,0.601665278
26682,0.527765271
26683,0.612634059
26684,0.612056712
26685,0.593962889
26686,0.598737073
26687,0.638870557
26688,0.549229602
26689,0.626937623
26690,0.623501364
26691,0.615342144
26692,0.566998387
26693,0.599675245
26694,0.558074424
26695,0.659934177
26696,0.616751836
26697,0.550534483
26698,0.610883777
26699,0.589818121
26700,0.630370618
26701,0.617839281
26702,0.635281215
26703,0.603366626
26704,0.592842382
26705,0.584258364
26706,0.515635392
26707,0.628185259
26708,0.606501453
26709,0.540667164
26710,0.561941276
26711,0.614690006
26712,0.60732423
26713,0.635361999
26714,0.563859025
26715,0.544317376
26716,0.617877797
26717,0.561794978
26718,0.578986246
26719,0.629821972
26720,0.572677939
26721,0.573927864
26722,0.573379371
26723,0.581615864
26724,0.652843849
26725,0.602364803
26726,0.632774354
26727,0.548159448
26728,0.651139175
26729,0.613765159
26730,0.648010738
26731,0.648827493
26732,0.642452839
26733,0.620757996
26734,0.581077007
26735,0.606737759
26736,0.64213879
26737,0.623769985
26738,0.649832155
26739,0.632754239
26740,0.583467327
26741,0.639243911
26742,0.558581692
26743,0.581466086
26744,0.505492662
26745,0.574685343
26746,0.593153623
26747,0.688250813
26748,0.635990458
26749,0.60565235
26750,0.573925059
26751,0.551019738
26752,0.65655914
26753,0.659121588
26754,0.620109586
26755,0.616118029
26756,0.615362874
26757,0.587114867
26758,0.624419419
26759,0.627086359
26760,0.629821038
26761,0.606332744
26762,0.590148547
26763,0.601297487
26764,0.582655475
26765,0.582487325
26766,0.527697144
26767,0.57436315
26768,0.600437858
26769,0.578288553
26770,0.608711598
26771,0.564610643
26772,0.556631826
26773,0.602431421
26774,0.634322898
26775,0.615509645
26776,0.583724971
26777,0.5788268
26778,0.619353074
26779,0.630168514
26780,0.524713775
26781,0.57637888
26782,0.582460537
26783,0.643391971
26784,0.611774425
26785,0.525693803
26786,0.565809994
26787,0.615040544
26788,0.630782386
26789,0.620520694
26790,0.622442472
26791,0.599693281
26792,0.582523236
26793,0.61634335
26794,0.631950864
26795,0.620349099
26796,0.624906898
26797,0.587084498
26798,0.592129328
26799,0.640621277
26800,0.638776515
26801,0.547398051
26802,0.643107266
26803,0.599133931
26804,0.575162931
26805,0.6161186
26806,0.540132048
26807,0.591189118
26808,0.63609341
26809,0.554195735
26810,0.627170546
26811,0.631886451
26812,0.551877592
26813,0.599642553
26814,0.687493986
26815,0.605084585
26816,0.632911873
26817,0.61507032
26818,0.603999607
26819,0.596150215
26820,0.558672096
26821,0.604297849
26822,0.671713146
26823,0.567368434
26824,0.620432644
26825,0.594166014
26826,0.588330803
26827,0.614969824
26828,0.656090183
26829,0.550366973
26830,0.612384967
26831,0.600841554
26832,0.568196874
26833,0.659132354
26834,0.564309501
26835,0.505565462
26836,0.606753584
26837,0.547757773
26838,0.594324582
26839,0.623314019
26840,0.559475776
26841,0.594228114
26842,0.627156765
26843,0.632628681
26844,0.576977835
26845,0.487457073
26846,0.622225402
26847,0.646288195
26848,0.625563238
26849,0.620995247
26850,0.573662327
26851,0.571718563
