id,failure
26570,0
26571,0
26572,0
26573,0
26574,0
26575,0
26576,1
26577,0
26578,0
26579,0
26580,0
26581,1
26582,1
26583,0
26584,0
26585,1
26586,0
26587,0
26588,0
26589,0
26590,1
26591,0
26592,0
26593,0
26594,0
26595,0
26596,0
26597,0
26598,1
26599,0
26600,0
26601,0
26602,1
26603,1
26604,0
26605,0
26606,0
26607,0
26608,0
26609,1
26610,0
26611,0
26612,0
26613,0
26614,0
26615,0
26616,1
26617,0
26618,1
26619,1
26620,1
26621,0
26622,0
26623,0
26624,0
26625,0
26626,0
26627,1
26628,0
26629,0
26630,0
26631,0
26632,0
26633,0
26634,1
26635,0
26636,0
26637,1
26638,0
26639,1
26640,0
26641,1
26642,1
26643,1
26644,0
26645,0
26646,0
26647,0
26648,0
26649,1
26650,1
26651,1
26652,0
26653,1
26654,0
26655,0
26656,0
26657,0
26658,0
26659,0
26660,0
26661,0
26662,0
26663,1
26664,0
26665,0
26666,0
26667,0
26668,0
26669,0
26670,1
26671,0
26672,0
26673,0
26674,0
26675,0
26676,0
26677,1
26678,0
26679,0
26680,0
26681,0
26682,0
26683,1
26684,0
26685,1
26686,0
26687,1
26688,0
26689,1
26690,0
26691,0
26692,1
26693,0
26694,0
26695,0
26696,0
26697,1
26698,0
26699,0
26700,0
26701,1
26702,1
26703,0
26704,0
26705,0
26706,0
26707,0
26708,0
26709,0
26710,0
26711,1
26712,0
26713,0
26714,1
26715,1
26716,0
26717,1
26718,1
26719,0
26720,0
26721,0
26722,0
26723,1
26724,0
26725,0
26726,1
26727,0
26728,0
26729,0
26730,1
26731,0
26732,0
26733,0
26734,0
26735,0
26736,0
26737,0
26738,0
26739,1
26740,1
26741,0
26742,0
26743,1
26744,0
26745,0
26746,0
26747,1
26748,0
26749,0
26750,0
26751,0
26752,1
26753,0
26754,0
26755,0
26756,1
26757,0
26758,0
26759,0
26760,1
26761,0
26762,0
26763,0
26764,0
26765,0
26766,0
26767,0
26768,0
26769,1
26770,0
26771,0
26772,0
26773,0
26774,0
26775,0
26776,0
26777,0
26778,0
26779,0
26780,0
26781,0
26782,0
26783,0
26784,0
26785,1
26786,1
26787,0
26788,0
26789,0
26790,0
26791,1
26792,0
26793,1
26794,0
26795,0
26796,1
26797,0
26798,1
26799,0
26800,0
26801,0
26802,0
26803,0
26804,0
26805,0
26806,0
26807,1
26808,0
26809,1
26810,1
26811,0
26812,0
26813,0
26814,1
26815,0
26816,0
26817,0
26818,0
26819,0
26820,0
26821,0
26822,0
26823,1
26824,0
26825,1
26826,0
26827,0
26828,0
26829,0
26830,0
26831,0
26832,0
26833,1
26834,0
26835,0
26836,1
26837,1
26838,0
26839,0
26840,0
26841,0
26842,0
26843,0
26844,0
26845,0
26846,0
26847,0
26848,1
26849,1
26850,0
26851,0
26852,1
26853,1
26854,1
26855,0
26856,1
26857,0
26858,1
26859,0
26860,0
26861,1
26862,0
26863,1
26864,0
26865,0
26866,0
26867,0
26868,0
26869,0
26870,0
26871,1
26872,0
26873,0
26874,0
26875,1
26876,0
26877,0
26878,1
26879,0
26880,0
26881,0
26882,0
26883,0
26884,1
26885,0
26886,0
26887,0
26888,0
26889,0
26890,1
26891,0
26892,1
26893,1
26894,1
26895,1
26896,0
26897,1
26898,0
26899,0
26900,0
26901,0
26902,0
26903,0
26904,1
26905,0
26906,1
26907,1
26908,0
26909,1
26910,0
26911,0
26912,0
26913,0
26914,0
26915,0
26916,1
26917,1
26918,0
26919,1
26920,0
26921,0
26922,1
26923,0
26924,0
26925,1
26926,1
26927,0
26928,0
26929,0
26930,1
26931,0
26932,0
26933,0
26934,0
26935,1
26936,0
26937,1
26938,1
26939,0
26940,0
26941,0
26942,0
26943,0
26944,1
26945,0
26946,1
26947,0
26948,1
26949,0
26950,0
26951,0
26952,0
26953,0
26954,1
26955,0
26956,0
26957,0
26958,1
26959,1
26960,1
26961,0
26962,0
26963,0
26964,0
26965,0
26966,0
26967,0
26968,0
26969,0
26970,1
26971,1
26972,0
26973,0
26974,1
26975,1
26976,0
26977,0
26978,0
26979,1
26980,1
26981,0
26982,0
26983,0
26984,0
26985,0
26986,1
26987,1
26988,0
26989,1
26990,0
26991,0
26992,1
26993,1
26994,0
26995,0
26996,0
26997,1
26998,1
26999,0
27000,1
27001,0
27002,0
27003,0
27004,0
27005,0
27006,0
27007,1
27008,0
27009,0
27010,0
27011,1
27012,0
27013,0
27014,0
27015,0
27016,1
27017,0
27018,0
27019,0
27020,0
27021,0
27022,0
27023,0
27024,0
27025,0
27026,0
27027,1
27028,0
27029,0
27030,0
27031,0
27032,0
27033,0
27034,0
27035,0
27036,0
27037,0
27038,1
27039,0
27040,0
27041,0
27042,0
27043,0
27044,0
27045,1
27046,1
27047,1
27048,1
27049,1
27050,0
27051,0
27052,0
27053,0
27054,1
27055,1
27056,0
27057,1
27058,0
27059,0
27060,0
27061,0
27062,0
27063,1
27064,1
27065,1
27066,0
27067,0
27068,0
27069,0
27070,0
27071,0
27072,0
27073,1
27074,1
27075,1
27076,0
27077,0
27078,0
27079,0
27080,0
27081,0
27082,0
27083,0
27084,1
27085,0
27086,0
27087,0
27088,0
27089,0
27090,0
27091,0
27092,0
27093,0
27094,0
27095,1
27096,0
27097,1
27098,0
27099,0
27100,0
27101,0
27102,1
27103,0
27104,0
27105,0
27106,1
27107,0
27108,0
27109,0
27110,0
27111,0
27112,0
27113,0
27114,0
27115,0
27116,0
27117,0
27118,0
27119,0
27120,1
27121,0
27122,0
27123,1
27124,0
27125,0
27126,0
27127,0
27128,0
27129,0
27130,0
27131,0
27132,0
27133,1
27134,0
27135,0
27136,0
27137,0
27138,0
27139,0
27140,0
27141,1
27142,0
27143,0
27144,1
27145,0
27146,0
27147,0
27148,0
27149,0
27150,0
27151,0
27152,0
27153,0
27154,1
27155,1
27156,0
27157,0
27158,0
27159,1
27160,0
27161,0
27162,0
27163,0
27164,0
27165,0
27166,0
27167,0
27168,1
27169,1
27170,0
27171,0
27172,0
27173,0
27174,0
27175,0
27176,0
27177,1
27178,0
27179,0
27180,0
27181,1
27182,0
27183,0
27184,0
27185,0
27186,0
27187,0
27188,0
27189,0
27190,0
27191,0
27192,0
27193,0
