id,failure
26570,0.97
26571,0.89
26572,0.93
26573,0.86
26574,0.85
26575,0.87
26576,0.87
26577,0.97
26578,0.91
26579,0.95
26580,0.83
26581,0.88
26582,0.88
26583,0.89
26584,0.92
26585,0.76
26586,0.88
26587,0.91
26588,0.97
26589,0.89
26590,0.85
26591,0.98
26592,0.93
26593,0.99
26594,0.95
26595,0.97
26596,0.88
26597,0.96
26598,0.88
26599,0.91
26600,0.85
26601,0.83
26602,0.98
26603,0.88
26604,0.95
26605,0.93
26606,0.82
26607,0.88
26608,0.93
26609,0.87
26610,0.84
26611,0.91
26612,0.86
26613,0.92
26614,0.88
26615,0.95
26616,0.9
26617,0.89
26618,0.86
26619,0.87
26620,0.89
26621,0.95
26622,0.92
26623,0.93
26624,0.9
26625,0.97
26626,0.92
26627,0.92
26628,0.84
26629,0.98
26630,0.96
26631,0.97
26632,0.99
26633,0.97
26634,0.93
26635,0.99
26636,0.98
26637,0.9
26638,0.9
26639,0.9
26640,0.86
26641,0.85
26642,0.87
26643,0.83
26644,0.95
26645,0.95
26646,0.9
26647,0.91
26648,0.88
26649,0.84
26650,0.9
26651,0.96
26652,0.93
26653,0.92
26654,0.91
26655,0.97
26656,0.97
26657,0.98
26658,1
26659,0.97
26660,0.87
26661,0.92
26662,0.97
26663,0.93
26664,0.83
26665,0.88
26666,0.88
26667,0.88
26668,0.82
26669,1
26670,0.9
26671,0.87
26672,0.96
26673,0.98
26674,0.9
26675,0.85
26676,0.9
26677,0.96
26678,1
26679,0.94
26680,0.93
26681,0.84
26682,0.93
26683,0.99
26684,0.9
26685,0.9
26686,0.88
26687,0.9
26688,0.92
26689,1
26690,0.85
26691,0.87
26692,0.85
26693,0.97
26694,0.85
26695,0.91
26696,0.92
26697,0.95
26698,1
26699,0.86
26700,1
26701,0.94
26702,0.9
26703,0.91
26704,0.84
26705,0.93
26706,0.95
26707,0.99
26708,0.93
26709,0.9
26710,0.9
26711,0.82
26712,0.99
26713,0.92
26714,0.86
26715,0.98
26716,0.98
26717,0.99
26718,0.93
26719,0.92
26720,0.88
26721,0.93
26722,0.86
26723,0.92
26724,0.96
26725,0.78
26726,0.9
26727,0.97
26728,0.99
26729,0.94
26730,0.97
26731,0.86
26732,0.9
26733,0.92
26734,0.92
26735,0.91
26736,0.99
26737,0.99
26738,0.99
26739,0.86
26740,0.95
26741,0.92
26742,0.89
26743,0.9
26744,0.87
26745,0.91
26746,0.93
26747,0.87
26748,1
26749,0.89
26750,0.92
26751,0.95
26752,0.94
26753,0.98
26754,0.92
26755,0.98
26756,0.91
26757,0.96
26758,0.96
26759,0.95
26760,0.96
26761,0.86
26762,0.86
26763,0.97
26764,0.84
26765,0.94
26766,0.88
26767,0.91
26768,0.88
26769,0.95
26770,0.78
26771,0.98
26772,0.78
26773,0.97
26774,0.94
26775,0.91
26776,0.95
26777,0.88
26778,0.92
26779,0.87
26780,0.97
26781,0.97
26782,0.9
26783,0.9
26784,0.96
26785,0.89
26786,0.92
26787,0.94
26788,0.93
26789,0.91
26790,0.87
26791,0.98
26792,0.92
26793,0.92
26794,0.92
26795,0.93
26796,0.93
26797,0.93
26798,0.9
26799,0.91
26800,0.98
26801,0.8
26802,0.96
26803,0.97
26804,0.91
26805,0.92
26806,0.92
26807,0.9
26808,0.93
26809,0.83
26810,0.89
26811,0.96
26812,0.89
26813,0.94
26814,0.94
26815,0.92
26816,0.97
26817,0.97
26818,0.86
26819,0.88
26820,0.89
26821,0.9
26822,0.91
26823,0.93
26824,0.82
26825,0.85
26826,0.93
26827,0.86
26828,0.98
26829,0.86
26830,0.97
26831,0.85
26832,0.92
26833,0.89
26834,0.87
26835,0.91
26836,0.88
26837,0.93
26838,0.82
26839,0.94
26840,0.95
26841,0.88
26842,0.89
26843,0.96
26844,0.94
26845,0.86
26846,0.85
26847,0.93
26848,0.97
26849,0.94
26850,0.89
26851,0.93
26852,0.95
26853,0.9
26854,0.84
26855,0.81
26856,0.9
26857,0.94
26858,0.94
26859,0.89
26860,0.95
26861,0.95
26862,0.9
26863,0.88
26864,0.97
26865,0.89
26866,0.87
26867,0.94
26868,0.99
26869,0.86
26870,0.9
26871,0.97
26872,0.95
26873,0.98
26874,0.93
26875,0.83
26876,0.99
26877,0.86
26878,0.98
26879,0.95
26880,0.93
26881,0.97
26882,0.9
26883,0.87
26884,0.95
26885,0.91
26886,0.91
26887,0.98
26888,0.95
26889,0.89
26890,0.89
26891,0.81
26892,0.91
26893,0.95
26894,0.97
26895,0.9
26896,0.84
26897,0.97
26898,0.94
26899,0.96
26900,0.86
26901,0.96
26902,0.94
26903,1
26904,0.86
26905,0.95
26906,0.84
26907,0.91
26908,0.98
26909,0.92
26910,0.97
26911,0.97
26912,0.96
26913,0.97
26914,0.83
26915,0.94
26916,0.94
26917,0.98
26918,0.88
26919,0.96
26920,0.96
26921,0.94
26922,0.98
26923,0.92
26924,0.95
26925,0.87
26926,0.95
26927,0.89
26928,0.87
26929,0.92
26930,0.85
26931,0.96
26932,0.92
26933,0.97
26934,0.78
26935,0.86
26936,0.95
26937,0.84
26938,0.98
26939,0.98
26940,0.97
26941,0.94
26942,0.87
26943,0.85
26944,0.95
26945,0.95
26946,0.93
26947,0.93
26948,0.9
26949,0.91
26950,0.93
26951,0.94
26952,0.95
26953,0.92
26954,0.9
26955,0.97
26956,0.88
26957,0.94
26958,0.9
26959,0.9
26960,0.76
26961,0.98
26962,0.79
26963,0.93
26964,0.79
26965,1
26966,0.99
26967,0.89
26968,0.98
26969,0.92
26970,0.93
26971,0.9
26972,0.91
26973,0.84
26974,0.97
26975,0.88
26976,0.91
26977,0.97
26978,0.98
26979,0.83
26980,0.91
26981,1
26982,0.91
26983,0.93
26984,0.9
26985,0.88
26986,1
26987,0.99
26988,0.93
26989,0.88
26990,0.96
26991,0.93
26992,0.85
26993,0.98
26994,0.9
26995,0.91
26996,0.9
26997,0.96
26998,0.97
26999,0.93
27000,0.93
27001,0.95
27002,0.91
27003,0.92
27004,0.95
27005,0.93
27006,0.85
27007,0.93
27008,0.95
27009,0.99
27010,0.82
27011,0.83
27012,0.85
27013,0.93
27014,0.87
27015,0.87
27016,0.89
27017,0.95
27018,0.91
27019,0.87
27020,0.96
27021,0.95
27022,0.94
27023,1
27024,0.91
27025,0.92
27026,0.95
27027,0.97
27028,0.89
27029,0.9
27030,0.97
27031,0.96
27032,0.85
27033,0.96
27034,0.96
27035,0.86
27036,0.88
27037,0.84
27038,0.89
27039,0.86
27040,0.84
27041,0.84
27042,0.94
27043,0.97
27044,0.89
27045,0.93
27046,0.86
27047,0.91
27048,0.9
27049,0.92
27050,0.94
27051,0.94
27052,0.98
27053,0.8
27054,0.95
27055,0.97
27056,0.92
27057,0.91
27058,0.99
27059,0.86
27060,0.99
27061,0.94
27062,0.92
27063,0.89
27064,0.94
27065,0.91
27066,0.92
27067,0.89
27068,0.98
27069,0.88
27070,0.96
27071,0.95
27072,0.91
27073,0.87
27074,0.91
27075,0.94
27076,0.93
27077,0.94
27078,0.9
27079,0.93
27080,0.98
27081,0.8
27082,1
27083,0.85
27084,0.94
27085,0.93
27086,0.95
27087,0.97
27088,0.82
27089,0.89
27090,0.94
27091,0.85
27092,0.84
27093,0.9
27094,0.93
27095,0.97
27096,0.87
27097,0.88
27098,0.91
27099,0.85
27100,0.9
27101,0.97
27102,0.9
27103,0.96
27104,0.93
27105,0.88
27106,0.87
27107,0.97
27108,0.92
27109,0.89
27110,0.91
27111,0.93
27112,0.78
27113,0.95
27114,0.87
27115,1
27116,0.88
27117,0.92
27118,0.96
27119,0.93
27120,0.83
27121,0.94
27122,0.9
27123,0.95
27124,0.91
27125,0.87
27126,0.95
27127,0.96
27128,0.93
27129,0.95
27130,0.95
27131,0.93
27132,0.89
27133,0.86
27134,0.92
27135,0.97
27136,0.95
27137,0.91
27138,0.93
27139,0.95
27140,0.94
27141,0.82
27142,0.96
27143,0.83
27144,0.88
27145,0.78
27146,0.96
27147,0.9
27148,0.97
27149,0.85
27150,0.9
27151,0.88
27152,1
27153,0.89
27154,0.95
27155,0.84
27156,0.94
27157,0.98
27158,0.9
27159,0.97
27160,0.98
27161,0.97
27162,0.91
27163,0.94
27164,0.93
27165,0.9
27166,0.98
27167,0.96
27168,0.83
27169,0.99
27170,0.96
27171,0.93
27172,0.91
27173,0.87
27174,0.94
27175,0.99
27176,0.91
27177,1
27178,0.88
27179,0.95
27180,0.89
27181,0.94
27182,0.93
27183,0.8
27184,0.96
27185,0.96
27186,0.99
27187,0.95
27188,0.96
27189,0.83
27190,0.92
27191,0.98
27192,0.93
27193,0.88
27194,0.78
27195,0.97
27196,0.94
27197,0.95
27198,0.93
27199,0.98
27200,0.81
27201,0.89
27202,0.89
27203,0.72
27204,0.95
27205,0.8
27206,0.81
27207,0.97
27208,0.96
27209,0.91
27210,0.87
27211,0.91
27212,0.98
27213,0.82
27214,0.93
27215,0.99
27216,0.82
27217,0.81
27218,0.92
27219,0.85
27220,0.99
27221,0.88
27222,0.85
27223,0.96
27224,0.85
27225,0.94
27226,0.84
27227,0.96
27228,0.99
27229,0.88
27230,0.89
27231,0.85
27232,0.91
27233,0.88
27234,0.91
27235,0.87
27236,0.99
27237,0.94
27238,0.94
27239,0.84
27240,0.89
27241,0.84
27242,0.88
27243,0.85
27244,0.83
27245,0.93
27246,0.98
27247,1
27248,0.91
27249,0.93
27250,0.86
27251,0.96
27252,0.94
27253,0.95
27254,0.91
27255,0.86
27256,0.93
27257,0.95
27258,0.75
27259,0.94
27260,0.93
27261,0.94
27262,0.95
27263,0.97
27264,0.9
27265,0.99
27266,0.94
27267,0.87
27268,1
27269,0.89
27270,0.95
27271,0.91
27272,0.94
27273,0.88
27274,0.99
27275,0.93
27276,0.97
27277,0.93
27278,0.89
27279,0.96
27280,0.98
27281,0.89
27282,0.82
27283,0.96
27284,0.99
27285,0.96
27286,0.9
