row_id,num_sold
70128,108
70129,108
70130,108
70131,108
70132,108
70133,108
70134,108
70135,108
70136,108
70137,108
70138,108
70139,108
70140,108
70141,108
70142,108
70143,108
70144,108
70145,108
70146,108
70147,108
70148,108
70149,108
70150,108
70151,108
70152,108
70153,108
70154,108
70155,108
70156,108
70157,108
70158,108
70159,108
70160,108
70161,108
70162,108
70163,108
70164,108
70165,108
70166,108
70167,108
70168,108
70169,108
70170,108
70171,108
70172,108
70173,108
70174,108
70175,108
70176,108
70177,108
70178,108
70179,108
70180,108
70181,108
70182,108
70183,108
70184,108
70185,108
70186,108
70187,108
70188,108
70189,108
70190,108
70191,108
70192,108
70193,108
70194,108
70195,108
70196,108
70197,108
70198,108
70199,108
70200,108
70201,108
70202,108
70203,108
70204,108
70205,108
70206,108
70207,108
70208,108
70209,108
70210,108
70211,108
70212,108
70213,108
70214,108
70215,108
70216,108
70217,108
70218,108
70219,108
70220,108
70221,108
70222,108
70223,108
70224,108
70225,108
70226,108
70227,108
70228,108
70229,108
70230,108
70231,108
70232,108
70233,108
70234,108
70235,108
70236,108
70237,108
70238,108
70239,108
70240,108
70241,108
70242,108
70243,108
70244,108
70245,108
70246,108
70247,108
70248,108
70249,108
70250,108
70251,108
70252,108
70253,108
70254,108
70255,108
70256,108
70257,108
70258,108
70259,108
70260,108
70261,108
70262,108
70263,108
70264,108
70265,108
70266,108
70267,108
70268,108
70269,108
70270,108
70271,108
70272,108
70273,108
70274,108
70275,108
70276,108
70277,108
70278,108
70279,108
70280,108
70281,108
70282,108
70283,108
70284,108
70285,108
70286,108
70287,108
70288,108
70289,108
70290,108
70291,108
70292,108
70293,108
70294,108
70295,108
70296,108
70297,108
70298,108
70299,108
70300,108
70301,108
70302,108
70303,108
70304,108
70305,108
70306,108
70307,108
70308,108
70309,108
70310,108
70311,108
70312,108
70313,108
70314,108
70315,108
70316,108
70317,108
70318,108
70319,108
70320,108
70321,108
70322,108
70323,108
70324,108
70325,108
70326,108
70327,108
70328,108
70329,108
70330,108
70331,108
70332,108
70333,108
70334,108
70335,108
70336,108
70337,108
70338,108
70339,108
70340,108
70341,108
70342,108
70343,108
70344,108
70345,108
70346,108
70347,108
70348,108
70349,108
70350,108
70351,108
70352,108
70353,108
70354,108
70355,108
70356,108
70357,108
70358,108
70359,108
70360,108
70361,108
70362,108
70363,108
70364,108
70365,108
70366,108
70367,108
70368,108
70369,108
70370,108
70371,108
